development_name,building_number,address,interruptions,planned,reported_datetime,status,buildings,units,population
BUSHWICK,3,"849 FLUSHING AVENUE BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 13:08:00,NYCHA Staff Assigned,1,194,390
FOREST,4,"730 EAST 166TH STREET BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 16:45:00,Outage Reported,1,72,172
GLENMORE PLAZA,4,"109 CHRISTOPHER AVENUE BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 14:04:00,NYCHA Staff Assigned,1,124,216
GOWANUS,6,"413 BALTIC STREET BROOKLYN, NY 11217",Elevator NO SERVICE,Unplanned,2020-01-25 16:28:00,Outage Reported,1,29,59
GRANT,6,"1315 AMSTERDAM AVENUE NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 08:41:00,NYCHA Staff Working,1,226,507
GRAVESEND,5,"3246 BAYVIEW AVENUE BROOKLYN, NY 11224",Elevator NO SERVICE,Unplanned,2020-01-25 15:24:00,Outage Reported,1,40,101
JOHNSON,3,"123 EAST 112TH STREET NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,2020-01-25 12:35:00,Outage Reported,1,108,265
MCKINLEY,7,"905 TINTON AVENUE BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 11:48:00,Outage Reported,1,124,292
PARKSIDE,10,"2975 WHITE PLAINS ROAD BRONX, NY 10467",Elevator NO SERVICE,Unplanned,2020-01-25 15:33:00,Outage Reported,1,28,55
POLO GROUNDS TOWERS,1,"2937 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 08:00:00,NYCHA Staff Working,1,208,424
RIIS II,19,"108 AVENUE D NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 10:19:00,NYCHA Staff Working,1,117,225
TAFT,3,"1365 5TH AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Planned,2019-12-09 10:00:00,NYCHA Staff Assigned,1,201,294
UNITY PLAZA (SITES 4-27),3,"375 WILLIAMS AVENUE BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,2020-01-25 17:24:00,Outage Reported,1,30,74
