development_name,building_number,address,interruptions,planned,reported_datetime,restoration_hours,buildings,units,population
ASTORIA,22,"1-10 ASTORIA BOULEVARD ASTORIA, NY 11102",Hot Water,Planned,2020-01-24 09:00:00,13,1,48,98
BARUCH,10,"105 BARUCH DRIVE NEW YORK, NY 10002","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,10,1,134,300
BARUCH,9,"120 BARUCH DRIVE NEW YORK, NY 10002","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,10,1,134,290
BARUCH,16,"120 COLUMBIA STREET NEW YORK, NY 10002","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,10,1,132,282
BARUCH,17,"140 COLUMBIA STREET NEW YORK, NY 10002","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,11,1,134,296
BARUCH,8,"90 BARUCH DRIVE NEW YORK, NY 10002","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,10,1,134,315
BROWN,1,"1634 SAINT MARKS AVENUE BROOKLYN, NY 11233",Heat,Planned,2020-01-24 10:00:00,10,1,98,104
BROWNSVILLE,9,"500 MOTHER GASTON BOULEVARD BROOKLYN, NY 11212","Heat, Hot Water","Unplanned, Unplanned",2020-01-24 09:00:00,8,1,54,101
CONEY ISLAND I (SITES 4 & 5),1,"2925 WEST 27TH STREET BROOKLYN, NY 11224",Water,Unplanned,2020-01-24 08:00:00,6,1,376,994
COOPER PARK,9,"20 DEBEVOISE AVENUE BROOKLYN, NY 11211",Heat,Unplanned,2020-01-24 09:00:00,6,1,112,223
DOUGLASS ADDITION,18,"868 AMSTERDAM AVENUE NEW YORK, NY 10025","Heat, Hot Water","Unplanned, Unplanned",2020-01-25 10:53:00,5,1,135,337
EDENWALD,31,"1187 226TH DRIVE BRONX, NY 10466",Hot Water,Unplanned,2020-01-24 11:54:00,6,1,24,88
FARRAGUT,9,"111 BRIDGE STREET BROOKLYN, NY 11201",Water,Unplanned,2020-01-24 07:32:00,14,1,140,320
FARRAGUT,7,"177 SANDS STREET BROOKLYN, NY 11201",Water,Unplanned,2020-01-24 07:31:00,14,1,140,351
FARRAGUT,10,"190 YORK STREET BROOKLYN, NY 11201",Water,Unplanned,2020-01-24 07:33:00,24,1,140,297
INGERSOLL,,"88 MONUMENT WALK BROOKLYN, NY 11205",Heat,Unplanned,2020-01-24 17:58:00,5,1,30,75
JACKSON,7,"3050 PARK AVENUE BRONX, NY 10451",Hot Water,Planned,2020-01-24 09:00:00,10,1,125,315
JUSTICE SONIA SOTOMAYOR HOUSES,23,"1060 BEACH AVENUE BRONX, NY 10472","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,10,1,54,120
JUSTICE SONIA SOTOMAYOR HOUSES,22,"1805 BRUCKNER BOULEVARD BRONX, NY 10472","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,8,1,54,99
JUSTICE SONIA SOTOMAYOR HOUSES,24,"1810 WATSON AVENUE BRONX, NY 10472","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,7,1,48,105
JUSTICE SONIA SOTOMAYOR HOUSES,27,"1815 BRUCKNER BOULEVARD BRONX, NY 10472","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,6,1,54,115
JUSTICE SONIA SOTOMAYOR HOUSES,25,"1824 WATSON AVENUE BRONX, NY 10472","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,5,1,54,114
JUSTICE SONIA SOTOMAYOR HOUSES,28,"1825 BRUCKNER BOULEVARD BRONX, NY 10472","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,6,1,54,111
JUSTICE SONIA SOTOMAYOR HOUSES,26,"1836 WATSON AVENUE BRONX, NY 10472","Heat, Hot Water","Planned, Planned",2020-01-24 08:00:00,7,1,54,126
LOWER EAST SIDE II,3,"620 EAST 5TH STREET NEW YORK, NY 10009",Heat,Unplanned,2020-01-24 13:30:00,11,1,42,108
MELROSE,,"681 COURTLANDT AVENUE BRONX, NY 10451 Line D",Water,Unplanned,2020-01-24 15:46:00,8,1,14,49
PATTERSON,13,"314 EAST 143RD STREET BRONX, NY 10451",Water,Unplanned,2020-01-24 15:38:00,6,1,208,452
SACKWERN,5,"710 NOBLE AVENUE BRONX, NY 10473",Hot Water,Unplanned,2020-01-24 13:45:00,29,1,59,103
SOUNDVIEW,9,"541 ROSEDALE AVENUE BRONX, NY 10473",Heat,Unplanned,2020-01-24 11:52:00,6,1,98,230
SOUTH JAMAICA I,,"107-33 159TH STREET QUEENS, NY 11433",Water,Planned,2020-01-24 08:00:00,11,1,12,22
